SR no,feedback_id,feedback_text,overall_sentiment,entity,entity_type,entity_sentiment
0,500,"I met Dr. Alan Moore, for laparoscopic gallbladder removal, check in for the appointment was confusing, nursing staff followed standard checks, I left feeling confused and frustrated maybe I expected more",neutral,Dr. Alan Moore,doctor,negative
1,500,"I met Dr. Alan Moore, for laparoscopic gallbladder removal, check in for the appointment was confusing, nursing staff followed standard checks, I left feeling confused and frustrated maybe I expected more",neutral,laparoscopic gallbladder removal,surgery,neutral
2,500,"I met Dr. Alan Moore, for laparoscopic gallbladder removal, check in for the appointment was confusing, nursing staff followed standard checks, I left feeling confused and frustrated maybe I expected more",neutral,nursing staff,nurse,neutral
3,500,"I met Dr. Alan Moore, for laparoscopic gallbladder removal, check in for the appointment was confusing, nursing staff followed standard checks, I left feeling confused and frustrated maybe I expected more",neutral,appointment,appointment,negative
4,145,"I met Dr. Riya Patel, at Riverside Health Clinic, for arthroscopic knee repair, my appointment was rescheduled twice, nursing staff followed standard checks, everything important was handled professionally",negative,Dr. Riya Patel,doctor,negative
5,145,"I met Dr. Riya Patel, at Riverside Health Clinic, for arthroscopic knee repair, my appointment was rescheduled twice, nursing staff followed standard checks, everything important was handled professionally",negative,Riverside Health Clinic,facility,negative
6,145,"I met Dr. Riya Patel, at Riverside Health Clinic, for arthroscopic knee repair, my appointment was rescheduled twice, nursing staff followed standard checks, everything important was handled professionally",negative,arthroscopic knee repair,surgery,negative
7,145,"I met Dr. Riya Patel, at Riverside Health Clinic, for arthroscopic knee repair, my appointment was rescheduled twice, nursing staff followed standard checks, everything important was handled professionally",negative,nursing staff,nurse,negative
8,145,"I met Dr. Riya Patel, at Riverside Health Clinic, for arthroscopic knee repair, my appointment was rescheduled twice, nursing staff followed standard checks, everything important was handled professionally",negative,appointment,appointment,negative
9,785,"at Greenfield Medical Center, for hernia correction surgery, my appointment was rescheduled twice, nothing stood out as especially good or bad hard to judge overall",neutral,Greenfield Medical Center,facility,neutral
10,785,"at Greenfield Medical Center, for hernia correction surgery, my appointment was rescheduled twice, nothing stood out as especially good or bad hard to judge overall",neutral,hernia correction,surgery,neutral
11,785,"at Greenfield Medical Center, for hernia correction surgery, my appointment was rescheduled twice, nothing stood out as especially good or bad hard to judge overall",neutral,hernia correction surgery,surgery,neutral
12,785,"at Greenfield Medical Center, for hernia correction surgery, my appointment was rescheduled twice, nothing stood out as especially good or bad hard to judge overall",neutral,appointment,appointment,negative
13,641,"I met Dr. Hannah Brooks, for spinal fusion procedure, the experience felt disorganized and poorly explained",negative,Dr. Hannah Brooks,doctor,negative
14,641,"I met Dr. Hannah Brooks, for spinal fusion procedure, the experience felt disorganized and poorly explained",negative,spinal fusion,surgery,negative
15,641,"I met Dr. Hannah Brooks, for spinal fusion procedure, the experience felt disorganized and poorly explained",negative,spinal fusion procedure,surgery,negative
16,482,"one nurse was helpful while another seemed annoyed, the experience felt disorganized and poorly explained felt inconsistent honestly",negative,nurse (individual),nurse,positive
17,361,"I met Dr. Riya Patel, the experience felt disorganized and poorly explained",negative,Dr. Riya Patel,doctor,negative
18,919,"I met Dr. Steven Holt, at Oakwood Surgical Institute, for laparoscopic gallbladder removal, check in for the appointment was confusing, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,Dr. Steven Holt,doctor,neutral
19,919,"I met Dr. Steven Holt, at Oakwood Surgical Institute, for laparoscopic gallbladder removal, check in for the appointment was confusing, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,Oakwood Surgical Institute,facility,neutral
20,919,"I met Dr. Steven Holt, at Oakwood Surgical Institute, for laparoscopic gallbladder removal, check in for the appointment was confusing, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,laparoscopic gallbladder removal,surgery,neutral
21,919,"I met Dr. Steven Holt, at Oakwood Surgical Institute, for laparoscopic gallbladder removal, check in for the appointment was confusing, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,nursing staff,nurse,neutral
22,919,"I met Dr. Steven Holt, at Oakwood Surgical Institute, for laparoscopic gallbladder removal, check in for the appointment was confusing, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,appointment,appointment,negative
23,869,"I met Dr. Steven Holt, for minor outpatient biopsy, check in for the appointment was confusing, parking was easy to find, the experience was acceptable but unremarkable",neutral,Dr. Steven Holt,doctor,neutral
24,869,"I met Dr. Steven Holt, for minor outpatient biopsy, check in for the appointment was confusing, parking was easy to find, the experience was acceptable but unremarkable",neutral,minor outpatient biopsy,surgery,neutral
25,869,"I met Dr. Steven Holt, for minor outpatient biopsy, check in for the appointment was confusing, parking was easy to find, the experience was acceptable but unremarkable",neutral,appointment,appointment,negative
26,869,"I met Dr. Steven Holt, for minor outpatient biopsy, check in for the appointment was confusing, parking was easy to find, the experience was acceptable but unremarkable",neutral,parking,parking,positive
27,254,"I met Dr. Marcus Lee, at Westbridge Medical Campus, the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues maybe I expected more",neutral,Dr. Marcus Lee,doctor,neutral
28,254,"I met Dr. Marcus Lee, at Westbridge Medical Campus, the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues maybe I expected more",neutral,Westbridge Medical Campus,facility,neutral
29,254,"I met Dr. Marcus Lee, at Westbridge Medical Campus, the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues maybe I expected more",neutral,nurse (individual),nurse,positive
30,254,"I met Dr. Marcus Lee, at Westbridge Medical Campus, the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues maybe I expected more",neutral,appointment,appointment,positive
31,197,"I met Dr. Nina Alvarez, the appointment started late, the nurse explained the medication schedule, parking took longer than expected, overall the experience felt well managed and clear",neutral,Dr. Nina Alvarez,doctor,neutral
32,197,"I met Dr. Nina Alvarez, the appointment started late, the nurse explained the medication schedule, parking took longer than expected, overall the experience felt well managed and clear",neutral,nursing staff,nurse,neutral
33,197,"I met Dr. Nina Alvarez, the appointment started late, the nurse explained the medication schedule, parking took longer than expected, overall the experience felt well managed and clear",neutral,appointment,appointment,negative
34,197,"I met Dr. Nina Alvarez, the appointment started late, the nurse explained the medication schedule, parking took longer than expected, overall the experience felt well managed and clear",neutral,parking,parking,negative
35,946,"I met Dr. Riya Patel, at Northlake Surgery Hospital, my appointment was rescheduled twice, the nurse explained the medication schedule, the experience was acceptable but unremarkable",neutral,Dr. Riya Patel,doctor,neutral
36,946,"I met Dr. Riya Patel, at Northlake Surgery Hospital, my appointment was rescheduled twice, the nurse explained the medication schedule, the experience was acceptable but unremarkable",neutral,Northlake Surgery Hospital,facility,neutral
37,946,"I met Dr. Riya Patel, at Northlake Surgery Hospital, my appointment was rescheduled twice, the nurse explained the medication schedule, the experience was acceptable but unremarkable",neutral,nursing staff,nurse,neutral
38,946,"I met Dr. Riya Patel, at Northlake Surgery Hospital, my appointment was rescheduled twice, the nurse explained the medication schedule, the experience was acceptable but unremarkable",neutral,appointment,appointment,negative
